time,x,y,dx,dy,speed,dt
1761282800.0,1265.0,354.0,50.0,-28.0,57.306194,0.001
1761282800.0,1287.0,345.0,22.0,-9.0,23.769728,0.001
1761282800.0,1305.0,337.0,18.0,-8.0,19.697716,0.001
1761282800.0,1344.0,332.0,39.0,-5.0,39.319206,0.001
1761282800.0,1358.0,332.0,14.0,0.0,14.0,0.001
1761282800.0,1373.0,332.0,15.0,0.0,15.0,0.001
1761282800.0,1405.0,332.0,32.0,0.0,32.0,0.001
1761282800.0,1423.0,332.0,18.0,0.0,18.0,0.001
1761282800.0,1447.0,332.0,24.0,0.0,24.0,0.001
1761282800.0,1487.0,332.0,40.0,0.0,40.0,0.001
1761282800.0,1505.0,332.0,18.0,0.0,18.0,0.001
1761282800.0,1519.0,334.0,14.0,2.0,14.142136,0.001
1761282800.0,1547.0,345.0,28.0,11.0,30.083218,0.001
1761282800.0,1547.0,345.0,0.0,0.0,0.0,0.001
1761282800.0,1571.0,368.0,24.0,23.0,33.24154,0.001
1761282800.0,1577.0,381.0,6.0,13.0,14.3178215,0.001
1761282800.0,1582.0,393.0,5.0,12.0,13.0,0.001
1761282800.0,1588.0,422.0,6.0,29.0,29.614185,0.001
1761282800.0,1590.0,438.0,2.0,16.0,16.124516,0.001
1761282800.0,1590.0,452.0,0.0,14.0,14.0,0.001
1761282800.0,1592.0,488.0,2.0,36.0,36.05551,0.001
1761282800.0,1592.0,508.0,0.0,20.0,20.0,0.001
1761282800.0,1592.0,528.0,0.0,20.0,20.0,0.001
1761282800.0,1591.0,548.0,-1.0,20.0,20.024984,0.001
1761282800.0,1572.0,594.0,-19.0,46.0,49.76947,0.001
1761282800.0,1559.0,615.0,-13.0,21.0,24.698177,0.001
1761282800.0,1549.0,630.0,-10.0,15.0,18.027756,0.001
1761282800.0,1528.0,654.0,-21.0,24.0,31.890438,0.001
1761282800.0,1515.0,665.0,-13.0,11.0,17.029387,0.001
1761282800.0,1508.0,673.0,-7.0,8.0,10.630146,0.001
1761282800.0,1495.0,676.0,-13.0,3.0,13.341664,0.001
1761282800.0,1471.0,679.0,-24.0,3.0,24.186773,0.001
1761282800.0,1459.0,679.0,-12.0,0.0,12.0,0.001
1761282800.0,1439.0,679.0,-20.0,0.0,20.0,0.001
1761282800.0,1399.0,678.0,-40.0,-1.0,40.012497,0.001
1761282800.0,1373.0,671.0,-26.0,-7.0,26.925823,0.001
1761282800.0,1342.0,655.0,-31.0,-16.0,34.88553,0.001
1761282800.0,1318.0,641.0,-24.0,-14.0,27.784887,0.001
1761282800.0,1276.0,613.0,-42.0,-28.0,50.47772,0.001
1761282800.0,1265.0,596.0,-11.0,-17.0,20.248457,0.001
